Brochure_Name_En,Geo_Unit_En,Period_Id,Datum
"Reported cases of malaria, total",Haiti,1990,4806
"Reported cases of malaria, total",Haiti,1991,25511
"Reported cases of malaria, total",Haiti,1992,13457
"Reported cases of malaria, total",Haiti,1993,853
"Reported cases of malaria, total",Haiti,1994,23140
"Reported cases of malaria, total",Haiti,1996,18877
"Reported cases of malaria, total",Haiti,1997,5870
"Reported cases of malaria, total",Haiti,1998,34771
"Reported cases of malaria, total",Haiti,1999,1196
"Reported cases of malaria, total",Haiti,2000,16897
"Reported cases of malaria, total",Haiti,2001,9837
"Reported cases of malaria, total",Haiti,2004,10802
"Reported cases of malaria, total",Haiti,2005,21778
"Reported cases of malaria, total",Haiti,2006,32739
"Reported cases of malaria, total",Haiti,2007,29825
"Reported cases of malaria, total",Haiti,2008,36774
"Reported cases of malaria, total",Haiti,2009,49535
"Reported cases of malaria, total",Haiti,2010,84153
"Reported cases of malaria, total",Haiti,2011,32048
"Reported cases of malaria, total",Haiti,2012,25928
"Reported cases of malaria, total",Haiti,2013,20957
"Reported cases of malaria, total",Haiti,2014,17696
"Reported cases of malaria, total",Haiti,2015,17583
"Reported cases of malaria, total",Haiti,2016,21430
"Reported cases of malaria, total",Latin Caribbean,1990,11071
"Reported cases of malaria, total",Latin Caribbean,1991,29461
"Reported cases of malaria, total",Latin Caribbean,1992,18227
"Reported cases of malaria, total",Latin Caribbean,1993,5814
"Reported cases of malaria, total",Latin Caribbean,1994,29051
"Reported cases of malaria, total",Latin Caribbean,1995,6519
"Reported cases of malaria, total",Latin Caribbean,1996,25023
"Reported cases of malaria, total",Latin Caribbean,1997,9909
"Reported cases of malaria, total",Latin Caribbean,1998,40263
"Reported cases of malaria, total",Latin Caribbean,1999,10113
"Reported cases of malaria, total",Latin Caribbean,2000,21906
"Reported cases of malaria, total",Latin Caribbean,2001,14716
"Reported cases of malaria, total",Latin Caribbean,2002,5011
"Reported cases of malaria, total",Latin Caribbean,2003,5415
"Reported cases of malaria, total",Latin Caribbean,2004,16238
"Reported cases of malaria, total",Latin Caribbean,2005,29039
"Reported cases of malaria, total",Latin Caribbean,2006,40389
"Reported cases of malaria, total",Latin Caribbean,2007,37386
"Reported cases of malaria, total",Latin Caribbean,2008,41905
"Reported cases of malaria, total",Latin Caribbean,2009,54658
"Reported cases of malaria, total",Latin Caribbean,2010,88254
"Reported cases of malaria, total",Latin Caribbean,2011,34915
